47958983545536976568241019527585493042338697299313515392553524983792344228403077490239110197663917328310821331292532633694994957815269775619943760700133146104850511176208629189080136778611134543498475
(4, 123)
(0, 176)
(4, 31)
(8, 131)
(1, 174)
(5, 53)
(9, 126)
(0, 137)
(0, 26)
(9, 29)
(5, 57)
(2, 19)
(0, 154)
(8, 35)
(2, 192)
(7, 110)
(1, 173)
(1, 130)
(2, 180)
(8, 38)
(0, 184)
(1, 117)
(1, 185)
(9, 84)
(1, 132)
(10, 124)
(0, 138)
(4, 181)
(10, 61)
(2, 54)
(1, 52)
(5, 13)
(10, 190)
(8, 30)
(8, 45)
(8, 90)
(7, 11)
(2, 95)
(3, 139)
(1, 87)
(6, 196)
(4, 69)
(4, 76)
(10, 77)
(0, 127)
(2, 177)
(1, 199)
(10, 81)
(6, 2)
(7, 49)
(4, 64)
(3, 121)
(9, 91)
(7, 37)
(1, 78)
(7, 151)
(7, 40)
(8, 18)
(1, 193)
(6, 194)
(7, 85)
(1, 43)
(5, 183)
(0, 36)
(3, 107)
(3, 155)
(6, 59)
(7, 102)
(5, 6)
(6, 182)
(0, 70)
(0, 187)
(6, 112)
(2, 50)
(5, 66)
(2, 119)
(0, 89)
(5, 118)
(4, 62)
(5, 72)
(2, 109)
(5, 191)
(7, 14)
(5, 9)
(1, 92)
(0, 5)
(8, 197)
(6, 167)
(9, 0)
(10, 153)
(8, 55)
(10, 63)
(1, 94)
(8, 172)
(5, 86)
(2, 60)
(6, 170)
(9, 46)
(1, 106)
(10, 115)
(7, 128)
(5, 68)
(10, 104)
(5, 165)
(2, 21)
(3, 150)
(2, 1)
(2, 166)
(8, 189)
(5, 88)
(2, 163)
(9, 186)
(9, 134)
(4, 149)
(1, 22)
(2, 198)
(9, 15)
(9, 71)
(5, 28)
(1, 93)
(10, 105)
(10, 58)
(10, 133)
(7, 100)
(9, 188)
(9, 34)
(5, 80)
(6, 8)
(0, 159)
(9, 44)
(1, 33)
(9, 56)
(7, 4)
(3, 141)
(7, 42)
(7, 75)
(6, 108)
(6, 67)
(10, 158)
(5, 24)
(4, 144)
(10, 41)
(0, 129)
(6, 48)
(4, 114)
(9, 12)
(0, 16)
(7, 145)
(8, 156)
(6, 169)
(9, 10)
(2, 178)
(6, 99)
(2, 135)
(3, 20)
(1, 171)
(0, 101)
(0, 175)
(1, 32)
(7, 39)
(1, 25)
(4, 148)
(4, 164)
(2, 147)
(4, 125)
(7, 79)
(5, 96)
(7, 152)
(0, 73)
(10, 140)
(3, 179)
(6, 3)
(2, 103)
(1, 136)
(5, 97)
(2, 113)
(4, 47)
(5, 82)
(10, 116)
(7, 111)
(4, 83)
(4, 74)
(10, 143)
(9, 168)
(10, 7)
(9, 162)
(6, 27)
(10, 142)
(9, 146)
(6, 161)
(4, 98)
(6, 122)
(0, 195)
(3, 23)
(5, 120)
(10, 157)
(0, 51)
(6, 160)
(5, 65)
(0, 17)
